supplier,ingredient,pack_qty,pack_desc,price_cents
Roma Foods,fresh mozzarella,2270,5 lb case,5400
Roma Foods,low-moisture mozzarella,2270,5 lb loaf,4300
Roma Foods,pepperoni,2270,5 lb pack,5800
Roma Foods,italian sausage,2270,5 lb pack,5200
Roma Foods,pecorino,1000,1 kg wedge,3900
Roma Foods,00 flour,25000,55 lb sack,3100
Roma Foods,tomato sauce,17040,#10 can 6-pack,4700
Roma Foods,olive oil,3000,3 L tin,2900
Cascade Produce,basil,200,200 g clamshell,900
Cascade Produce,mushrooms,2000,2 kg flat,1400
Cascade Produce,red onion,4500,10 lb bag,900
Cascade Produce,bell pepper,3000,3 kg case,1600
Cascade Produce,garlic,1000,1 kg bag,800
Valco Cash & Carry,fresh mozzarella,2270,5 lb case,4700
Valco Cash & Carry,low-moisture mozzarella,2270,5 lb loaf,3900
Valco Cash & Carry,pepperoni,2270,5 lb pack,5200
