name,unit,on_hand,par_level,reorder_threshold,storage
00 flour,g,25000,30000,10000,dry
semolina,g,8000,10000,3000,dry
yeast,g,900,1000,300,walk-in
olive oil,ml,4000,5000,1500,dry
tomato sauce,ml,12000,15000,5000,dry
fresh mozzarella,g,2000,4000,1500,walk-in
low-moisture mozzarella,g,5000,6000,2000,walk-in
pecorino,g,1500,2000,500,walk-in
pepperoni,g,1400,3000,1200,walk-in
italian sausage,g,2500,3000,1000,freezer
mushrooms,g,2000,2500,800,walk-in
red onion,g,1800,2000,600,walk-in
bell pepper,g,1500,2000,600,walk-in
basil,g,200,300,60,walk-in
garlic,g,800,1000,250,dry
oregano,g,300,400,100,dry
